Master Cust Num,Master Cust Name,Cust Num,Cust Name ,Vehicle,Program Provider,Provider Transaction Date,Provider Transaction Time,Transaction Posted Date,Provider Account Number,Provider Vehicle Number,Provider Account Name,Provider Card Number,Provider Driver First Name,Provider Driver Last Name,Provider Vehicle Description,Year,Make,Model,VIN,Provider Transaction VIN,Provider Company Vehicle Number,Provider Location,Provider Transaction Site Address,Provider Transaction Site City,Provider Transaction Site State,Provider Odometer,Provider Unusual Odometer Flag,Provider Adjusted Odometer,Provider Units Purchased,Unit Type,Provider Tax Amount,Provider Discount Amount,Provider Gross Dollars,Provider Net Dollars,Provider MPG,Provider Fuel Type
999999,PDI Fleet,999999,PDI Fleet,27SGXD,WEX Enterprise ExxonMobil Card,08/12/2026,10:00:00 AM,08/12/2026,x0593,1000,PDI,x10000,FLEET,DRIVER,BING-1,2021,Subaru,Impreza,4S3GTAB65M3715647,4S3GTAB65M3715647,BING-1,TRACKER,1 MAIN,TOWN,VA,218692,N,218692,10.0,GAL,0,0,40.00,40.00,25,UNLEADED
999999,PDI Fleet,999999,PDI Fleet,26LSZW,WEX Enterprise ExxonMobil Card,09/01/2026,10:00:00 AM,09/01/2026,x0593,1001,PDI,x10001,FLEET,DRIVER,Bing-2,2023,Subaru,Impreza,4S3GTAB68P3707868,4S3GTAB68P3707868,Bing-2,TRACKER,1 MAIN,TOWN,VA,179865,N,179865,10.0,GAL,0,0,40.00,40.00,25,UNLEADED
999999,PDI Fleet,999999,PDI Fleet,27SKLJ,WEX Enterprise ExxonMobil Card,04/27/2026,10:00:00 AM,04/27/2026,x0593,1002,PDI,x10002,FLEET,DRIVER,BK-2,2018,Subaru,Impreza,4S3GTAA61J3751039,4S3GTAA61J3751039,BK-2,TRACKER,1 MAIN,TOWN,VA,6615,N,6615,10.0,GAL,0,0,40.00,40.00,25,UNLEADED
999999,PDI Fleet,999999,PDI Fleet,26LT22,WEX Enterprise ExxonMobil Card,08/11/2026,10:00:00 AM,08/11/2026,x0593,1003,PDI,x10003,FLEET,DRIVER,BK4,2023,Subaru,Impreza,4S3GTAB61P3707503,4S3GTAB61P3707503,BK4,TRACKER,1 MAIN,TOWN,VA,116570,N,116570,10.0,GAL,0,0,40.00,40.00,25,UNLEADED
999999,PDI Fleet,999999,PDI Fleet,27BV79,WEX Enterprise ExxonMobil Card,08/11/2026,10:00:00 AM,08/11/2026,x0593,1004,PDI,x10004,FLEET,DRIVER,BK7,2024,Subaru,Impreza,JF1GUABC3R8319509,JF1GUABC3R8319509,BK7,TRACKER,1 MAIN,TOWN,VA,54842,N,54842,10.0,GAL,0,0,40.00,40.00,25,UNLEADED
999999,PDI Fleet,999999,PDI Fleet,27BV7C,WEX Enterprise ExxonMobil Card,08/12/2026,10:00:00 AM,08/12/2026,x0593,1005,PDI,x10005,FLEET,DRIVER,BK8,2024,Subaru,Impreza,JF1GUABCXR8318423,JF1GUABCXR8318423,BK8,TRACKER,1 MAIN,TOWN,VA,59211,N,59211,10.0,GAL,0,0,40.00,40.00,25,UNLEADED
999999,PDI Fleet,999999,PDI Fleet,27BV73,WEX Enterprise ExxonMobil Card,08/11/2026,10:00:00 AM,08/11/2026,x0593,1006,PDI,x10006,FLEET,DRIVER,BRONX-2,2024,Subaru,Impreza,JF1GUABC6R8316491,JF1GUABC6R8316491,BRONX-2,TRACKER,1 MAIN,TOWN,VA,72678,N,72678,10.0,GAL,0,0,40.00,40.00,25,UNLEADED
999999,PDI Fleet,999999,PDI Fleet,285JCG,WEX Enterprise ExxonMobil Card,09/01/2026,10:00:00 AM,09/01/2026,x0593,1007,PDI,x10007,FLEET,DRIVER,CT1,2024,Subaru,Impreza,JF1GUABCXR8881035,JF1GUABCXR8881035,CT1,TRACKER,1 MAIN,TOWN,VA,59167,N,59167,10.0,GAL,0,0,40.00,40.00,25,UNLEADED
999999,PDI Fleet,999999,PDI Fleet,26ZMJT,WEX Enterprise ExxonMobil Card,08/17/2026,10:00:00 AM,08/17/2026,x0593,1008,PDI,x10008,FLEET,DRIVER,CT2,2023,Subaru,Impreza,4S3GTAB65P3722098,4S3GTAB65P3722098,CT2,TRACKER,1 MAIN,TOWN,VA,149899,N,149899,10.0,GAL,0,0,40.00,40.00,25,UNLEADED
999999,PDI Fleet,999999,PDI Fleet,27SGXN,WEX Enterprise ExxonMobil Card,08/16/2026,10:00:00 AM,08/16/2026,x0593,1009,PDI,x10009,FLEET,DRIVER,CT3,2022,Honda,HR-V,3CZRU6H34NM768981,3CZRU6H34NM768981,CT3,TRACKER,1 MAIN,TOWN,VA,194913,N,194913,10.0,GAL,0,0,40.00,40.00,25,UNLEADED
